Marca temporal;País;Provincia donde trabajas;Edad...4;Género...5;¿Estás haciendo home office?...6;¿En qué provincia trabajás?;Edad...8;Género...9;¿Estás haciendo home office?...10;Sentís que trabajando desde tu casa, tu productividad...;¿Tenés hijos?;¿Ya hacías home office antes de la pandemia?;Preferís...;La comunicación con tu equipo de trabajo;¿En qué tipo de empresa trabajás?;¿Querés contestar más preguntas?;¿Cuál es el rubro de la empresa?...18;Antes de la cuarentena ¿Qué porcentaje de la empresa estaba haciendo teletrabajo?;¿Qué herramientas de comunicación utilizas con tu equipo?;¿Hacés pausas para distenderte o trabajás de corrido?;Respecto a la vestimenta;¿Hacés el mismo horario que yendo a la oficina?;Respecto de la planificación;¿Preferís un ambiente tranquilo o con algo de ruido?;¿Usás auriculares para trabajar?;¿Te gustaría trabajar todos los días desde tu casa?;¿Creés que va a cambiar la forma de trabajar después de esta crisis?;Justifica la respuesta;¿Tu trabajo se puede hacer desde tu casa?;¿Hay sectores de la empresa que están haciendo teletrabajo?;¿La empresa brinda servicios considerados esenciales?;¿La empresa dio algún beneficio para que los empleados vayan a trabajar presencialmente?;En el caso que estés en cuarentena sin posibilidad de trabajar desde tu casa, ¿tu empleador te sigue pagando el sueldo?;Tipo de empresa;¿Cuál es el rubro de la empresa?...36;La empresa cumple con las pautas y condiciones de prevención;¿Querés recibir los resultados de esta encuesta por mail?;¿Querés recibir más información de los servicios y eventos de Data 4HR?
2020-03-20T13:37:07Z;Argentina;NA;NA;NA;NA;Buenos Aires;31;Mujer;Sí;Sigue igual;No;Sí;Trabajar desde tu casa;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Salud;Entre 31% y el 50%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo más horas;Voy viendo según el día;Prefiero un ambiente en silencio;A veces;No;Sí;Si bien hay sectores que por su naturaleza no permite el home office, plantas, laboratorios etc. Creo que es una oportunidad para lo que aun desconfiaban de la modalidad de teletrabajo  de creer y reconocer que hay muchas herramientas para estar conectados y trabajando de la misma manera. Asi mismo, creo que el contacto en persona es necesario para fortalecer el vinculo y la confianza, pero que se puede sostener y dar respuesta de igual manera conectados. Usar la camara, herramientas como zoom que los dejan interactuar, ayudan muchisimo.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:38:13Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;26;Mujer;Sí;Mejoró;No;Sí;Trabajar con gente en la oficina;Se mantiene igual de bien;Multinacional;Si;Consultoria;Entre 51% y un 80%;Skype/Microsoft Teams, Mail, WhatsApp, Red social interna (Yammer/Workplace);Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;No;Sí;Quienes no confiaban en el trabajo remoto empezarán a hacerlo, y quienes lo realizaban también empezarán a valorar trabajar en la oficina;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T13:49:17Z;Argentina;NA;NA;NA;NA;Córdoba;32;Mujer;Sí;Sigue igual;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Telecomunicaciones;Menos del 10%;Skype/Microsoft Teams, Mail, WhatsApp, Webex;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Me pongo uno o dos objetivos nada más;Prefiero un ambiente en silencio;A veces;No;Tal vez;Creo que es una oportunidad para demostrar que la productividad no depende del lugar de trabajo sino de otros factores mas transcendentales;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T14:00:00Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;37;Hombre;Sí;Sigue igual;Sí;Sí;Trabajar en un cowork;Se mantiene igual de bien;Multinacional;Si;tecnología;Entre un 10% y un 30%;Zoom, Slack, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Pongo música/radio;A veces;No;Tal vez;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T14:06:29Z;Paraguay;Asunción;36;Mujer;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí;Sí;Sí;Sí;Nacional;Recursos Humanos;Si;Sí;Sí
2020-03-20T14:09:40Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;29;Mujer;Sí;Mejoró;No;No;Trabajar en un cowork;Se mantiene igual de bien;Nacional;Si;CONSTRUCCION;Menos del 10%;Hangouts/Google Meet, Mail, WhatsApp;Sí;Te ponés lo primero que encontrás;Si;Me pongo uno o dos objetivos nada más;Prefiero un ambiente en silencio;Nunca;Tal vez;Sí;Tenemos la prueba que la organizacion continua produciendo;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T14:13:59Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;30;Mujer;Sí;Empeoró;No;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Eléctrico;Entre 51% y un 80%;Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;Si;Voy viendo según el día;Pongo música/radio;A veces;No;Sí;"En compañías donde el home office no es moneda corriente, creo que van a darse cuenta que se puede trabajar igual y que sirve para tareas que requieren de mucha concentración.

Por otro lado, va a forzar a que aquellas que no tenían un Plan de Contingencia en pie, lo empiecen a considerar impactando directamente en la mejora de procesos de trabajo y a utilización de herramientas en la nube.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T14:20:21Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;44;Mujer;Sí;Sigue igual;Sí;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Oil & gas;Entre 31% y el 50%;Skype/Microsoft Teams, WhatsApp;Sí;Te vestís como para ir a trabajar normalmente;Si;Planifico todas las tareas del día;Pongo música/radio;A veces;No;Sí;Aumento el porcentaje de gente trabajando a distancia y mejoramos exponencialmente la manera de aprender;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T14:21:14Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;32;Mujer;Sí;Sigue igual;No;Sí;Trabajar con gente en la oficina;Tuvimos que hacer ajustes pero va bien;Multinacional;Si;Argo;Entre un 10% y un 30%;Skype/Microsoft Teams, Mail, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;No, trabajo más horas;Voy viendo según el día;Pongo música/radio;A veces;Tal vez;Tal vez;Porque se va a generar conciencia que algunos trabajos se pueden hacer de manera remota;NA;NA;NA;NA;NA;NA;NA;NA;Sí;No
2020-03-20T14:24:54Z;Argentina;NA;NA;NA;NA;Ciudad Autónoma de Buenos Aires;44;Mujer;Sí;Empeoró;Sí;No;Trabajar desde tu casa;Se mantiene igual de bien;Multinacional;Si;Banca financiera;Entre 31% y el 50%;Zoom, WhatsApp;Sólo para comer;Te ponés lo primero que encontrás;Si;Planifico todas las tareas del día;Prefiero un lugar donde circule gente;Sí, todo el tiempo;Tal vez;Sí;Creo que las organizaciones, como reflejo de la humanidad misma, no saben aprovechar sus recursos y terminan malgastandolos. Por otro lado, es curioso el despertar de la creatividad en tiempos de necesidad.;NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
2020-03-20T14:37:32Z;Paraguay;Asunción;39;Mujer;Sí;NA;NA;NA;NA;Sigue igual;Sí;Sí;Trabajar desde tu casa;Se mantiene igual de bien;Nacional;Si;Servicios (Específicos de RR HH);Entre 31% y el 50%;Zoom, Skype/Microsoft Teams, Mail, WhatsApp, Monday;Sí;Sólo te preocupas de lo que te ponés de la cintura para arriba;No, trabajo menos horas;Planifico todas las tareas del día;Pongo música/radio;A veces;Tal vez;Sí;"La situación actual logró accionar ideas que algunas empresas lo creían imposible de llevar a cabo, quizás no es la manera correcta de desarrollarlas pero toda crisis siempre es oportunidad y en este caso se demostró eso. Ojalá estos ""ajustes"" que se están dando puedan seguir como metodologías de trabajo y cada día mejorarlas más.";NA;NA;NA;NA;NA;NA;NA;NA;Sí;Sí
